source,people_bias,places_bias,events_bias,overall_bias
Central Bulletin,0.800,0.378,1.000,0.726
The Abila Post,0.744,1.000,0.430,0.725
Athena Speaks,0.671,0.431,0.915,0.672
News Online Today,1.000,0.663,0.269,0.644
News Desk,0.706,0.353,0.846,0.635
The Explainer,0.801,0.392,0.589,0.594
The Continent,0.298,0.237,0.935,0.490
Everyday News,0.431,0.228,0.726,0.461
International News,0.383,0.139,0.771,0.431
International Times,0.207,0.227,0.842,0.425
World Journal,0.153,0.176,0.600,0.310
The Guide,0.393,0.063,0.414,0.290
World Source,0.142,0.119,0.597,0.286
Kronos Star,0.298,0.250,0.209,0.252
The Wrap,0.296,0.002,0.448,0.249
The Truth,0.232,0.014,0.434,0.227
The General Post,0.086,0.083,0.496,0.221
The World,0.063,0.085,0.480,0.210
Worldwise,0.146,0.019,0.401,0.189
The Light of Truth,0.081,0.127,0.330,0.180
All News Today,0.169,0.000,0.275,0.148
Daily Pegasus,0.185,0.000,0.212,0.132
Homeland Illumination,0.136,0.070,0.147,0.118
The Tulip,0.052,0.033,0.246,0.110
Who What News,0.002,0.031,0.279,0.104
The Orb,0.019,0.002,0.242,0.088
Centrum Sentinel,0.000,0.144,0.000,0.048
Tethys News,0.000,0.138,0.000,0.046
Modern Rubicon,0.000,0.116,0.000,0.039
